Date,Month,Station,Lat,Lon
16/12/2010,12,1,35.13533333,-9.5165
17/12/2010,12,2,34.00066667,-12.7805
19/12/2010,12,3,29.68333333,-17.288
20/12/2010,12,4,28.70166667,-18.87116667
21/12/2010,12,5,24.97166667,-21.05316667
22/12/2010,12,6,23.274,-22.22216667
23/12/2010,12,7,21.45016667,-23.4545
24/12/2010,12,8,20.26116667,-24.25116667
25/12/2010,12,9,16.164,-26.0255
26/12/2010,12,10,14.51966667,-26.00033333
27/12/2010,12,11,12.49833333,-25.98616667
28/12/2010,12,12,9.563666667,-25.99333333
29/12/2010,12,13,7.3235,-25.99583333
30/12/2010,12,14,4.988666667,-26.00483333
31/12/2010,12,15,2.457333333,-26.009
1/1/2011,1,16,0.181,-26.01516667
2/1/2011,1,17,-3.0295,-27.32566667
3/1/2011,1,18,-4.778666667,-28.16866667
4/1/2011,1,19,-7.283166667,-29.32233333
5/1/2011,1,20,-9.1275,-30.18816667
6/1/2011,1,21,-11.6405,-31.372
7/1/2011,1,22,-13.7355,-32.37616667
8/1/2011,1,23,-15.83083333,-33.40316667
9/1/2011,1,24,-18.42416667,-34.64433333
10/1/2011,1,25,-21.09333333,-35.97233333
11/1/2011,1,26,-22.95466667,-36.92466667
19/1/2011,1,27,-24.315,-36.22216667
20/1/2011,1,28,-24.792,-33.476
21/1/2011,1,29,-25.4265,-30.06983333
22/1/2011,1,30,-25.86816667,-27.56733333
23/1/2011,1,31,-26.46533333,-24.20966667
24/1/2011,1,32,-26.94683333,-21.39983333
25/1/2011,1,33,-27.55333333,-18.08933333
26/1/2011,1,34,-28.09066667,-14.79133333
27/1/2011,1,35,-28.649,-11.81166667
28/1/2011,1,36,-29.10566667,-9.130833333
29/1/2011,1,37,-29.76733333,-5.314833333
30/1/2011,1,38,-30.26166667,-2.435333333
31/1/2011,1,39,-30.88166667,0.967833333
1/2/2011,2,40,-31.3075,3.748666667
2/2/2011,2,41,-31.83233333,6.857
3/2/2011,2,42,-32.23416667,9.345166667
4/2/2011,2,43,-32.81266667,12.76916667
5/2/2011,2,44,-33.23333333,15.3395
13/2/2011,2,45,-35.13616667,25.56316667
14/2/2011,2,46,-34.83733333,27.54916667
15/2/2011,2,47,-34.43966667,31.11183333
16/2/2011,2,48,-34.17383333,33.72583333
17/2/2011,2,49,-33.90716667,37.04216667
18/2/2011,2,50,-33.5625,39.8845
19/2/2011,2,51,-33.19433333,43.24816667
24/2/2011,2,52,-30.055,61.43066667
25/2/2011,2,53,-27.97816667,63.24766667
26/2/2011,2,54,-28.1275,66.49316667
27/2/2011,2,55,-29.3535,69.4
28/2/2011,2,56,-29.5605,72.44416667
1/3/2011,3,57,-29.90433333,76.09333333
2/3/2011,3,58,-29.8275,79.611
3/3/2011,3,59,-29.8105,82.62333333
4/3/2011,3,60,-29.74883333,86.2565
5/3/2011,3,61,-29.69466667,89.4985
6/3/2011,3,62,-29.62683333,92.98416667
7/3/2011,3,63,-29.574,96.40733333
8/3/2011,3,64,-30.33266667,103.3075
9/3/2011,3,65,-30.3275,103.3173333
10/3/2011,3,66,-30.8105,107.2371667
11/3/2011,3,67,-31.134,110.207
12/3/2011,3,68,-31.55366667,113.4668333
19/3/2011,3,69,-35.98333333,117.407
20/3/2011,3,70,-36.63933333,120.8561667
21/3/2011,3,71,-37.23933333,124.8978333
22/3/2011,3,72,-37.88933333,127.7503333
23/3/2011,3,73,-38.5775,131.5065
24/3/2011,3,74,-39.2425,135.1388333
25/3/2011,3,75,-39.86683333,138.7353333
26/3/2011,3,76,-40.55033333,142.497
27/3/2011,3,77,-38.62133333,150.4173333
28/3/2011,3,78,-36.64166667,151.0061667
16/4/2011,4,79,-34.05616667,176.0158333
17/4/2011,4,80,-34.05483333,176.0056667
18/4/2011,4,81,-28.40616667,179.1413333
19/4/2011,4,82,-25.48983333,-179.5236667
20/4/2011,4,83,-23.37716667,-178.2108333
21/4/2011,4,84,-20.661,-176.9196667
22/4/2011,4,85,-18.56083333,-175.8233333
23/4/2011,4,86,-15.903,-174.4868333
24/4/2011,4,87,-13.53116667,-173.3718333
25/4/2011,4,88,-11.242,-172.6296667
26/4/2011,4,89,-9.474166667,-172.298
27/4/2011,4,90,-7.0605,-171.3905
28/4/2011,4,91,-5.75,-170.7406667
29/4/2011,4,92,-3.410333333,-169.4625
30/4/2011,4,93,-1.303166667,-168.354
1/5/2011,5,94,1.598833333,-166.8495
2/5/2011,5,95,3.748166667,-165.7731667
3/5/2011,5,96,6.992166667,-164.3716667
4/5/2011,5,97,9.201166667,-163.495
5/5/2011,5,98,11.5925,-162.4095
6/5/2011,5,99,14.99683333,-160.816
7/5/2011,5,100,17.9725,-159.4345
14/5/2011,5,101,21.89,-155.6638333
15/5/2011,5,102,21.57,-153.4181667
16/5/2011,5,103,21.06383333,-150.319
17/5/2011,5,104,20.7835,-148.2691667
18/5/2011,5,105,20.3445,-145.1971667
19/5/2011,5,106,19.8915,-141.59
20/5/2011,5,107,19.279,-138.9651667
21/5/2011,5,108,18.65316667,-136.1781667
22/5/2011,5,109,18.02783333,-133.2598333
23/5/2011,5,110,17.37033333,-130.611
24/5/2011,5,111,16.625,-127.5361667
25/5/2011,5,112,15.90866667,-124.4738333
26/5/2011,5,113,15.31033333,-121.9953333
27/5/2011,5,114,14.5285,-118.7736667
28/5/2011,5,115,13.80383333,-115.7561667
29/5/2011,5,116,13.205,-113.256
30/5/2011,5,117,12.49516667,-110.3956667
31/5/2011,5,118,12.00066667,-108.076
1/6/2011,6,119,11.35433333,-105.0106667
2/6/2011,6,120,10.7585,-102.4423333
3/6/2011,6,121,10.0925,-99.24616667
4/6/2011,6,122,9.445666667,-96.34066667
5/6/2011,6,123,8.745666667,-93.14433333
6/6/2011,6,124,8.141833333,-90.365
7/6/2011,6,125,7.223666667,-87.95983333
8/6/2011,6,126,5.9115,-84.79466667
20/6/2011,6,127,12.36266667,-74.03916667
21/6/2011,6,128,14.158,-71.67333333
22/6/2011,6,129,15.0685,-69.29533333
23/6/2011,6,130,15.525,-67.01433333
25/6/2011,6,131,17.42716667,-59.82766667
26/6/2011,6,132,18.064,-57.80333333
27/6/2011,6,133,18.99616667,-55.15016667
28/6/2011,6,134,19.98966667,-52.6365
29/6/2011,6,135,20.80383333,-50.14316667
30/6/2011,6,136,21.7355,-47.78766667
1/7/2011,7,137,22.8625,-44.528
2/7/2011,7,138,23.73516667,-41.90183333
3/7/2011,7,139,24.8445,-38.71016667
4/7/2011,7,140,26.11016667,-35.2575
5/7/2011,7,141,26.911,-32.8365
6/7/2011,7,142,27.96683333,-29.65216667
7/7/2011,7,143,28.8745,-26.95066667
8/7/2011,7,144,29.96683333,-23.68566667
9/7/2011,7,145,30.966,-20.64983333
10/7/2011,7,146,32.07883333,-17.266
11/7/2011,7,147,32.91433333,-14.61166667